Model,AIC,BIC,LB_pvalue
"(0,1,2)(1,1,1,7)",2075.6705539456975,2089.649506673681,0.00014209563801658375
"(2,1,2)(0,1,1,7)",2078.4951278407234,2095.269871114304,0.0006779130122545722
"(1,1,2)(1,1,1,7)",2078.740598509586,2095.5153417831666,3.854295317901797e-06
"(0,1,2)(0,1,1,7)",2080.090754232592,2091.2739164149793,0.006669679434381582
"(2,1,2)(1,1,1,7)",2080.135854393058,2099.706388212235,0.0015630006498740258
"(1,1,2)(0,1,1,7)",2080.865671008414,2094.844623736398,0.0004931349134098458
"(1,1,1)(1,1,1,7)",2091.73230587588,2105.752411099546,5.615946796884221e-05
"(2,1,0)(1,1,1,7)",2091.8686271454217,2105.888732369088,8.773159569777094e-05
"(2,1,2)(1,1,0,7)",2094.466876294084,2111.2910025624838,0.007907712716927945
"(0,1,1)(0,1,1,7)",2095.4962111552118,2103.9082742894116,0.006823734847352295
"(1,1,1)(0,1,1,7)",2096.524140331226,2107.7402245101594,0.0011504053966435357
"(2,1,0)(1,1,0,7)",2098.3474098732754,2109.5634940522086,0.10874223961978816
"(0,1,1)(1,1,1,7)",2098.820226161347,2110.03631034028,0.13679511885442722
"(2,1,1)(0,1,1,7)",2101.305746830594,2115.3258520542604,7.790306348549545e-05
"(2,1,1)(1,1,0,7)",2102.1084529337427,2116.128558157409,0.001286092087057549
"(2,1,1)(1,1,1,7)",2103.3030658523935,2120.127192120793,6.47456565822336e-05
"(1,1,0)(1,1,1,7)",2107.355078350508,2118.6038157719977,9.977963884125596e-05
"(0,1,0)(1,1,1,7)",2109.4019407202413,2117.8384937863584,0.00014296265950986488
"(1,1,2)(1,1,0,7)",2111.800327634782,2125.861249411644,0.006261609225274523
"(1,1,0)(0,1,1,7)",2111.9439292610814,2120.3804823271985,0.004754879511437291
"(1,1,0)(1,1,0,7)",2113.2341511181467,2121.6707041842637,0.108689782677918
"(2,1,0)(0,1,1,7)",2113.296154689729,2124.544892111219,0.005142763762784841
"(0,1,0)(0,1,1,7)",2113.9313451286025,2119.5557138393474,0.0076764278696454195
"(1,1,1)(1,1,0,7)",2114.0841714456924,2125.332908867182,0.012274021316171422
"(0,1,1)(1,1,0,7)",2130.127799964813,2138.588644661628,0.11504940803634053
"(0,1,0)(1,1,0,7)",2130.4395299865546,2136.0800931177646,0.12638086296457315
"(0,1,2)(1,1,0,7)",2131.5789682094214,2142.8600944718414,0.1136006062560099
"(2,1,2)(0,1,0,7)",2222.435537014685,2236.695688334283,5.9398164153896953e-05
"(1,1,2)(0,1,0,7)",2223.2165183249967,2234.624639380675,4.473368081754645e-06
"(0,1,2)(0,1,0,7)",2226.060564549406,2234.616655341165,3.401247911470393e-05
"(1,1,1)(0,1,0,7)",2237.6626847780735,2246.2421219911585,6.680631199111521e-06
"(2,1,1)(0,1,0,7)",2239.595114036102,2251.034363653549,5.157510016274604e-06
"(0,1,1)(0,1,0,7)",2243.5512709955638,2249.270895804287,2.9677454747298856e-05
"(2,1,0)(0,1,0,7)",2243.668991199575,2252.24842841266,2.5855219124239684e-05
"(1,1,0)(0,1,0,7)",2259.374474639637,2265.109543540548,2.023634612023208e-05
"(0,1,0)(0,1,0,7)",2261.2240966912386,2264.091631141694,3.106203915120428e-05
