Roll,Start,End,RMSE,MAPE
1,2025-05-20,2025-05-26,1214.7118397419742,0.03142875039427303
2,2025-05-27,2025-06-02,2804.3621853064524,0.0852858911390973
3,2025-06-03,2025-06-09,4540.248167090897,0.08805872349694353
4,2025-06-10,2025-06-16,2574.9379451356085,0.06691205037401632
5,2025-06-17,2025-06-23,4216.730955085808,0.12988783280033853
6,2025-06-24,2025-06-30,979.0657911483843,0.02817448651782333
7,2025-07-01,2025-07-07,1486.8984477904191,0.03953543688919366
8,2025-07-08,2025-07-14,1198.6993595376584,0.03597388837740896
9,2025-07-15,2025-07-21,1298.19576158218,0.036779233171023176
10,2025-07-22,2025-07-28,1078.6417939012363,0.037115028661314844
11,2025-07-29,2025-08-04,704.4901525185052,0.022919733012385653
12,2025-08-05,2025-08-11,4440.927271616771,0.10043096780550884
13,2025-08-12,2025-08-18,6199.064476974681,0.1595887835142233
14,2025-08-19,2025-08-25,2119.8023461381727,0.04208279666284694
15,2025-08-26,2025-09-01,2140.7264202907863,0.04384164660678736
16,2025-09-02,2025-09-08,934.8225286766373,0.021536405907389124
17,2025-09-09,2025-09-15,2936.223826759115,0.0799103834464082
18,2025-09-16,2025-09-22,1682.9849687264991,0.046751766376686266
19,2025-09-23,2025-09-29,3708.831772167733,0.09272660693860575
20,2025-09-30,2025-10-06,3547.074665969207,0.09457189052622718
21,2025-10-07,2025-10-13,7592.555938820662,0.16202591802116292
22,2025-10-14,2025-10-20,13882.253155848328,0.2934995159172299
23,2025-10-21,2025-10-27,2860.8116279127967,0.052535555927424774
24,2025-10-28,2025-11-03,2060.428047270744,0.055688318043477625
25,2025-11-04,2025-11-10,1289.3883605690617,0.030672937279268397
26,2025-11-11,2025-11-17,2073.1331677951844,0.056510037196764604
27,2025-11-18,2025-11-24,1248.0406684497875,0.03509174956721207
28,2025-11-25,2025-12-01,1758.9850913278663,0.045980942511153776
29,2025-12-02,2025-12-08,2277.571740076138,0.06672651120096056
30,2025-12-09,2025-12-15,2899.943062901666,0.07244599730826973
31,2025-12-16,2025-12-22,1407.3752867821404,0.03444335227002263
32,2025-12-23,2025-12-29,2935.6772223916682,0.07497545231798337
33,2025-12-30,2026-01-05,2170.1586032413747,0.054988531309037296
34,2026-01-06,2026-01-12,1626.5166419223979,0.04293590864138393
35,2026-01-13,2026-01-19,612.4254737180122,0.01653202779941745
36,2026-01-20,2026-01-26,1497.6016235557063,0.041286412536808745
37,2026-01-27,2026-02-02,1228.159583524388,0.0319508624289035
38,2026-02-03,2026-02-09,1777.567890655968,0.050667445625679264
39,2026-02-10,2026-02-16,751.1480788827029,0.0207858013431749
40,2026-02-17,2026-02-23,889.3269581131672,0.01739419370627925
41,2026-02-24,2026-03-02,1161.2712127128075,0.03232806982246462
42,2026-03-03,2026-03-09,925.6707358705687,0.025767795915070252
43,2026-03-10,2026-03-16,6572.326744118414,0.1113222663428243
44,2026-03-17,2026-03-23,21777.16372541411,0.40687136212350045
45,2026-03-24,2026-03-30,4225.9320001749675,0.08999549626720903
46,2026-03-31,2026-04-06,1122.7931309224318,0.024343138555337224
47,2026-04-07,2026-04-13,2496.9586361218544,0.06741752491276647
48,2026-04-14,2026-04-20,1291.011793259058,0.03807285006276529
49,2026-04-21,2026-04-27,3859.8414548529104,0.09950450375658694
50,2026-04-28,2026-05-04,5287.320695863542,0.1356431178503249
51,2026-05-05,2026-05-11,5788.373684503039,0.14261812305207128
52,2026-05-12,2026-05-18,2299.030401789652,0.060074432757367395
